Name of Icebreaker Tool,Complexity of Tool,Number of Participants,Materials,Length of Time,Overview of Tool,URL of Video Training,When to use it ?,Transcription
1-Word Story,Easy,"As many as you like! Groups
work best when less than 10.",People. Imagination. Laughter.,4-7 minutes,"A story with an intention. Before starting, select a target
word. The group’s goal is to weave a cohesive sentence
(or sentences) that eventually end on the target word. The
hurdle: each participant can only say one word at a time,
bouncing around the room until (hopefully) someone can
add the pre-selected word. Create a meaningful story, a
sense of comradery, and a lot of laughs with this short,
simple icebreaker.",https://stalechips.teachable.com/courses/1732552/lectures/39190167,Before: Beginning the session or serious module. After: Kicking off the session or a break,"This exercise can be completed with as many people as you'd like. I recommend keeping it 15 or less or chunks of ten people or so if you've got a large audience. The purpose here is to. You don't need anything to tell a meaningful story that actually has a. So what? It's coherent. It's actually a full sentence or full sentences on working together, putting in one word here and there to create it as you go. So I'm going to bring in Johnny over here and we're going to demonstrate. Johnny doesn't know what we're about to do. Well, he does because I just told him, and he's a facilitator, so he gets it. But we are going to pull a random word. Can you give me a random word?
Dolphin.
Dolphin. We're going to tell a story on a dolphin using one word each. We have not practiced this. We failed miserably at doing this before.
I'm really bad at these types of games, so I'll be your example of the person that's bad and how to manage them that needs help. I need help.
Okay, dolphin or dolphins?
Dolphin.
Dolphin. Here we go.
Once there was a little girl that loved to dance, period. She decided that one dolphin.
Okay, all right, well, here, listen. All right, listen, listen. The purpose of any icebreaker? Warm up like this, where you are tempting to get people to laugh. It can happen in one of two ways. It can happen out of just pure and total humor, which that was not. It was incredibly awkward. It was a word I was not expecting Johnny to say. He cut straight to the chase and I laughed. I guess it was. It was funny in that respect. But so what ends up happening with these is people expect the word to be something specific they have in their head how this sentence plays out. And when they hear other people add these words, they get frustrated. They're like, oh, you could have ended it right there. You could have done it. You could have bridged the gap. And somebody will add a word that inevitably makes you go around again in order to come full circle with the story. And so it's just really interesting to see the different perspectives that people have in life. And you need to realize, look, if we can realize this in a very small atmosphere right now with this one word story, when we are ideating on problem sets and solution sets, if one word was challenging for us to get around,
how challenging is it going to be when we don't all agree on the problem at hand or the solution or the way ahead, et cetera? It's going to become more complex. And so kind of letting go of the fact that you're going to get it right every time can be a caveat or a. A learning point to this type of thing. One more story can be in pairs. It can be with, like I said before, a group of people. I try not to make it so massive that everybody is just pointing and laughing at the person. That just completely fails. Try to make it a little bit.
More close knit, if you could. This is one word story."
2 Truths and a Lie,Easy,"5-7 participants per group, can have
multiple groups.","Post-its & Sharpies for each individual, flip chart or
wall space for placing Post-its.","10-20 minutes
(depending on participants)","An engaging game that can be used at dinner parties or
workshops. Supercharged alignment and connection
between participants. Each individual will create two
obscure truths and one seemingly truthful lie to be
shared with their group. Get ready for laughs and
learning!",https://stalechips.teachable.com/courses/1732552/lectures/39190168,Before: Beginning the session or serious module. After: Kicking off the session or a break,"Two truths and a lie. An instant classic. One you may have heard of before, one you may have done at dinner parties, even one that works extremely well in any situation, whether it's with high ranking officials, C suite members, down to kiddos at the elementary school. It's playful, it's fun, it's engaging, and it helps the group get a sense of camaraderie, like very few exercises so simple could possibly do. So here's the materials you need. Each member of the group will need sharpie and post it. Pretty basic. What I like to do as well is prep a space on a nearby wall where I have one section. A left side that's truth and a right side that's a lie. That's. So later on, the group can decide which idea is a true truther and a liar. So here's what you do. Each participant is going to take their post it and their sharpie, go off in a corner, and their job is to come up with two true things about themselves and one, well, not so true thing. The real trick is to try and make them so interesting that it's difficult to tell which is true and which is a lie. So one more time, your participants come up with three post its. Two are true things about themselves. One is a little white lie that is still juicy and sounds fun. So I'm going to give a quick example. I'm going to write these down real quick. Wow, that was fast. So here we go. I'm going to hold it close. Here we go. First one, I got on stage with Kid cudi at Lollapalooza. Number two, I was attacked by wild dogs in the jungle of Brazil. Number three, my mom dropped the ball, didn't write my name on my birth certificate correctly. Now, in the next few seconds, you viewers try and guess which two are true and which is the lie.
Now you're thinking what he's lying about. Maybe he's lying about nothing because all those are so cool and crazy.
Okay, by now you should have decided. I wanted you to get the full workshop experience. I would say, move the ones over. Move the ones over. Move the ones over. We'll say this is the true side. This is the lie side. I've never been on stage with Kid Cudi. I was attacked by wild dogs, and my mom did drop the ball on riding my name on my birth certificate. So two truths and a lie. It can take a bit of time. I like to separate my groups into smaller groups of five so that they're able to share, laugh, really get in depth for some of the most interesting things about themselves. I was telling John earlier in one round of two truths and one lie. One of my participants had the postage of djed at MTV Spring break has nipple rings. And what was the last one? John got arrested. Got arrested in Disney World. Which one did you think was the lie? I thought it was. Honestly, in this area, it was not. It was the Disney world. So you learn a lot of weird facts, you get a lot of laughs, you get a great sense of togetherness in the room, and Max should take 20 minutes of your day. Well worth your time. Two truths and a lie. An old one, but a golden one."
5 Second Test,Easy,Unlimited.,Sharpie and paper for each participant.,3-7 minutes,"Time crunched discomfort. This tool helps the group
get used to drawing up the confidence of the team and
get those mental legs running for future rounds of
brainstorming. What are we learning? Communication
through sketches is easier than we all first believed.
Who thought confidence could be gained in 5 seconds?
Now everyone does!",https://stalechips.teachable.com/courses/1732552/lectures/39190169,Before: Beginning the session or serious module. After: An introduction or workshop kick-off.,"Five second test for this energizer, I like to use it at the beginning so I might call it a warm up. All you need is for each participant to have paper and sharpies. Here's how we do it. So the five second test is used to one introduce everyone to drawing. Get them used to drawing simple and give them confidence at doing so. It also helps them generate ideas quickly. We want to see what comes out of their brain as fast as possible. So all we're going to do is a simple five second test. So each participant will have a sharpie in their paper to write on. It can be post its and what we'll do is we'll give them a topic and they have to draw something that would describe that topic in 5 seconds. So we'll get started. Started with something easy. Baby 54321, go. As you can see, this is how most people draw a baby. I've never met a baby with a single strand of hair pointing up, but for some reason that's what we think of next. One flower 54321. Done. Pins up. I'm going to draw a quick flower too. Most people draw Daisy. Not sure why. I think that's just a weird statistic. So what are we learning? We're kind of all drawing different things. It can be done in a large group. You call individuals out. Hey, could you show us what you drew? One. It doesn't matter how detailed it is. The goal of drawing is to actually effectively communicate an idea. It doesn't have to be a masterpiece, it has to be effective at sharing our thoughts. And that's the beautiful thing about it. So we're going to do one more on topic. Innovation 54321. I'm going to gamble and say 99% of you drew a light bulb. Now, associating images with ideas is something that we're going to do throughout the workshop. So you're going to need to embrace this simplicity of drawing. Now all we really drew were circles and squares, so not too difficult. Now you should, and the participants should have the confidence to draw and share their ideas whenever you call upon them to do so throughout the workshop. Again, best if you I prefer all my workshops have five to seven people, but it works best with any amount of people.
Make sure you control how many people you call on. Hopefully this will take only four to five minutes to get the people going, get some laughs as we share the different wild ideas we might come up with and then move on to the input. As John says, the next exercise to get your people on their way to success again. That is the five second test."
Animal Noises,Easy,Unlimited.,People (who will probably be confused).,1-3 minutes,"An icebreaker to help participants develop creative
confidence by adventuring into the ridiculous. Inspired
by improv, this hilarious tool will shift the group’s energy
to playful joy and chaos. 20 seconds of mayhem!",https://stalechips.teachable.com/courses/1732552/lectures/39190170,"Any time the tone of the room needs to adjust. Mind clearing, energy infusing","For this one, you don't need anything. You need people that are probably wondering what the heck you're about to do. You're going to open up the scene by going in a second here. We are going to interact with our environment as some kind of animal. Okay? This could be a dinosaur or a fish or a snake. It doesn't matter what it is. I want everybody to think right now for the next 30 seconds, what animal you're going to be, okay? So you give everybody a chance to think, and then you say, all right, listen, this room is about to come alive. Everybody in here is going to act and react to their surroundings as that animal using the noise that you have, okay? And if you've got some introverts in the room, you can say, hey, listen, it's okay if you take out a piece of paper and a pen and draw the animal that you're considering, and then other people will act and interact with the animal that you've drawn. I'll give everybody about a minute to do that. It doesn't have to be a Picasso or anything like that. And then you give it a second. You make sure you answer any questions for everybody, and then you say, go. This one is powerful because you have told the entire room that they're going to do this. So for the majority of the room, they're all going to start making noises at the same time, which is hilarious. People are going to be a pterodactyl, which is just. I. You start crying over on the side because you're laughing so hard. And cats and some people are snails. It's just really kind of weird what people pick, but it's hilarious. And some people are, like, pretending to eat other ones. Some people are flying by them. It doesn't matter. The room turns into pure and total chaos. As a facilitator, you gotta stop it before it goes too far. So consider 20 seconds of allowing it to go maybe 30, where it's just enough that it hasn't gotten old. People are still laughing. If you've continued to move where people are not laughing anymore and they're wondering why they're still flapping their wings, you've gone too far. Okay. This is something that you can do at any point in time. It takes less than two minutes from start to finish for explanation, allowing them to draw something, interacting with one another, and then kind of calming down after the fact. Two minutes, maybe three, tops. And you can really shift the tone of the room around to look. Let's shake off what we were thinking. Before. Let's move on into the next thing with a clear mind and a lot more energy. So maybe after you've had a gut bomb after lunch or something like that, you can bring this one to light and get everybody really excited to jump back into it."
Best Day Ever!,Easy,4-10 participants per group.,Humans and their ideas.,5 minutes,"A moment of reflection. Let everyone think of the
greatest day they’ve ever had or ever COULD have! This
is good vibes on a rapid timeline (30 seconds or less).
Nothing to do with work. 100% focus on opening the
door to connection via stories and shared experiences.",https://stalechips.teachable.com/courses/1732552/lectures/39190171,"Before: Something serious or not serious. It’s about connection. After: Starting a workshop, but at any time!","This one can be done with any number of people that you want. Recommend doing smaller groups so, you know, five to seven people, but you can have it as many groups as you need. Five, seven people. It's super quick. Less than five minutes. In order to describe it, have them do it, reflect on it, move on. You're going to need nothing for this, really. You want everybody to reflect on their single greatest day that they've either ever had or that they ever could have. And you're going to get them to describe this day in 30 seconds or less. Very important here to emphasize what 30 seconds really and truly means by saying something to the effect of, hey, instead of having everybody get on their soapbox and talk forever, I've got this alarm clock that's going to interrupt you with this very weird and awkward noise or I am going to cut you off. It's an inevitability. Half of you will get cut off by me. Please don't take it personally. I'm going to cut everybody off. 30 seconds means. 30 seconds means 30 seconds because we're only doing this for 30 seconds, right? For 30 seconds. We got it.
Cool.
You're going to do it for 30 seconds. Sounds good. Make sure you prepare for 30 seconds. That's also very annoying, but it gets a point across 30 seconds.
Okay.
Everybody plans their thing for, let's say 30 seconds and then you say go. If you're in a small enough group and you're really going to work together for the whole day, having ten people or so, just step in the middle and go, hi, my name is John. My perfect day would be if I could do this, this and this. I wake up like that. We do some kind of lunch over here like this. I don't know why mine revolves around food. Maybe yours does, maybe yours doesn't. Maybe it's horseback riding or hang gliding or whatever, or just sleeping in or a day without kids or don't tell your kids, like all of these different things, you're going to hear what makes people tick. It's a good way to get to know people. It's super quick. It has nothing to do with work. It has really nothing to do with anything other than opening the door of conversation, of how you actually relate to the people in the room. People remember stories. So hearing somebody talk for that intro of their story of their best day is going to help most people remember? Oh, yeah. You know, like, I don't remember her name, but I do remember that she loves ice cream. And her favorite day is, you know, going down by the beach having a good thing of ice cream and wrapping things up with an awesome movie and some popcorn for the day. So you're the popcorn girl.
Cool.
Like, whatever that is. Okay. Do it anytime you'd like. Super short break between something serious and something serious or something funny and something serious. It doesn't matter. You can throw this one anywhere you'd like."
Bob Ross,Easy,"4-10 participants per group;
can be multiple groups.",A group of willing participants.,7-10 minutes,"Let’s paint ourselves a picture… in 3D… with improv &
hunger to feel ridiculous.
“I need you to be a tree”; this kick-off question expands into a full scenery of humans
imitating anything in an environment. The end goal: a “live
painting” that tells its own cohesive story. Don’t settle for
one round and don’t repeat ideas. Get creative! You’ll be so excited you might just have a “happy accident”
.",https://stalechips.teachable.com/courses/1732552/lectures/39190173,"Before: Diving back into a high-intensity series of
exercises. After: A break, “gut bomb” from lunch, or following a mentally strenuous activity.","If you know anybody out there that has any kind of trademark or patent on the name Bob Ross, please change this to something else or tell me that you're about to sue me so that we can figure this out and maybe cut. I call this Bob Ross. Pretty little trees. You know, the guy, he's incredible. Okay, this is where you add a little bit of improv into your day. This can be done very, very well at the end of a lunch period or something like that, or end of a break where people are coming in. You could do it in the very beginning of the day, but I think there are better ones for that. This is kind of like to bring everybody back into the fold. So you're going to have somebody come out, potentially an assistant. Can I have an assistant, please? You're going to come out and I'm going to say, I need you to be a tree. Okay, cool. So we got a tree. Okay. We tell everybody we have a tree. Now, we need to add something to this that would be in the same scenery as a tree. So somebody might come up and they might say, I am a bush. Somebody might say, I'm clouds, somebody might say, I'm a bird, et cetera, et cetera. Okay, so let's say the very last person in this scene is a dog peeing on the tree. Awesome. Okay, so now pretend you're a dog. It would be me, but I don't have four assistants right now. So we have a dog. I would tap everybody out, kick everybody out of the circle. That was a tree, a cloud, part of the scenery, and now we're left with a dog. Okay, now we all leave the scenery, and now we have a new one. It has nothing to do with the old one. You can't repeat anything that's already been done. And now we have a dog that we now need to act or interact with. So somebody might be a fire hydrant. Somebody might be a fireman or woman. Somebody might be whatever, right. The person that's left here at the very end, Johnny the dog, would get to pick, who am I going to leave in this scene? Thank you, Johnny. Johnny might say, I want to keep the fire hydrant. Okay, so now we have a person that's left as the fire hydrant. Everybody else leaves, you have a new scene. You create a new scene around that fire hydrant. So you go and you go and you go until you kind of see who's remaining. Right?
Is there two or three people that haven't gone? You try to get them, you encourage them to go in by going, hey, there's two or three people that haven't gone yet. This exercise is over after everybody's gone once, so let's get it out of the way. Let's make it comfortable and easy. One person at a time. Come in, add to the scene, tell us what you are, and then stay in place. Okay, this one. People just come up with some crazy stuff from this scene, and some people's minds go in some very weird places. And you have to kind of improv off of why somebody is in the scene. I don't even. I don't have a craziest one off the top of my head right now. They're crazy. Okay, this one again, after a break, after lunch. You need to bring the energy up. You can do this. I'd say with about 15 people. Any more than that, you could probably go to 25 if you have enough time. I'd say 15 people. You should be able to get through this entire thing in about four minutes. Five minutes, 25 people. You're looking at ten minutes. So make sure you have enough time to really bring everybody into the fold, et
cetera. But it's super quick, adds a lot of energy. Bob Ross."
Cake,Easy,Unlimited,Paper and a writing utensil.,5-7 minutes,"An icebreaker based on lateral thinking, this tool forces
participants to think outside the box (of cake) and can
lend credibility to the facilitator. A quick mind game,
“Cake,” is a sweet way to segue the conversation from
an introduction to creative thinking.",https://stalechips.teachable.com/courses/1732552/lectures/39190174,"Before:Kicking off a workshop or series of
activities with high mental demand. After: An introduction, break, or questions about
the facilitator’s credibility","Let zimmy cake. Quick exercise. All you need, some paper, a sharpie. Each individual is going to need them. This exercise is a simple lateral thinking test. Again, lateral thinking versus linear thinking. Linear thinking. A straight line, that's a, b c. That means each step has to be completed in order to get to the next thing. Lateral thinking, you create more options, more opportunities, and in the end, you get further, faster. So this exercise is used to get those juices flowing so that you're not thinking directly in line. You're actually being a little more creative. Thinking outside of the box, which is not an outside of the box term for thinking outside the box. And here's how you do it. You need everyone to draw cake. Don't have to be Picasso. Look. I'll even draw a little candle. Gorgeous. So I need all of you just to draw your own cake. And here is the challenge. You're going to have three cuts with a knife, three cuts to total eight slices. So, three cuts to total eight slices. Now, what I like to do is give everybody a minute, maybe a minute and a half, to see how they're going. Everybody one will get used to drawing, which is important. They get used to the fact it doesn't have to be pretty. We all saw John's face drawing earlier, hopefully doesn't have to be perfect, doesn't have to be Picasso. Again, you have three cuts of a knife to make a total of eight completely equal slices. Now, once you've paused for a bit, you're probably trying to figure out right now how to go about it. I'll show you, my liege, how to go about it. So I'm going to redraw that beautiful cake I did earlier. The most common one, people will cut it in half, meaning vertically in half. Is that the correct this way? In half. And then they're going to slice it. Boop, boop. Now, you've got eight equal slices with three slices. Now with three cuts. Now, if you're trying to be crazy, right, you're trying to gain some credibility, gain some buy in, and honestly, just make yourself look a little more clever than everyone else. Here's what I like to do.
Next level, cut the whole thing in half. Now, what you're going to do is stack the cake on top of the cake. Let's see if I can draw that really fast. Really pretty, really fast. Really pretty. Something like this. Your stacking cake on cake. Then you slice it down the middle again. That's your second one. And then repeat. Now, you've got eight slices. Eight completely equal slices. Although maybe some icing got stuck to the bottom. If you're going to be all technical like that, Jim in the back, don't get technical on me. You've got eight equal slices in three cuts. Now, again, this. Let dim eat cake. You can just call it cake instead of doing an offensive accent like most people. Most people do. And it gets the people going. It gets them thinking. It also just kind of puts some energy in the room. So let them eat cake and you can have it, too."
Cape of Compliments,Medium,Unlimited number of participants.,"Flip charts with sticky sections, a tape for each
participant, and writing utensils for each participant.",10-20 minutes,"Cape of Compliments is all about positive support and
caring comments. Unlike Twitter or Instagram, this
exercise focuses on the positive things each participant
thinks about one another. At times, tear-evoking (happy
tears), the intention is to make everyone feel good.",https://stalechips.teachable.com/courses/1732552/lectures/39190175,Before: Wrapping up a session. After: A break or stressful moment.,"Not all superheroes wear capes. In this case, everyone is going to and everyone's going to feel like a little superhero. So all you need in order to do this exercise, which is meant for as many participants as you want to, as many participants as you can probably control in a space, you'll need a flip chart, a big one like this. Notice these. These are way too expensive. They're sticky at the top. They're like giant post it notes. Okay, so that's one thing. And then each individual participant will need one of those single sheet of those for their back. They will each need a sharpie. You will want them, maybe, maybe even a pencil, because sometimes people jab with sharpies and bleed through the flip chart. And here is what you're going to do. I'm going to bring in my handy dandy participant, John, and I'm going to show you how each participant should be set up. Now, remember, this is for each participant. Give me a little spin. This will be their superhero cape that they get to have on their back. Now, here is the important piece. Each individual is going to be set up. John, are you comfortable? Oh, yeah. Each individual is going to be set up with one of these on their back. The responsibility of all other participants while you're playing music because you're getting good vibes is to write a compliment, write a quality about the individual whose back you're riding on. A moment that you share together, something positive about them that you think stands out, at least in your mind, could be. Wow. Remember that time we had coffee and we just really connected over our families? Remember that time you helped me, you saved me. You saved me on that project when I couldn't figure out how to format the file or this guy is next level. This girl is incredible. This girl is on fire. Right, John? All right. What this does, and again, you'll want to do it towards the end of the workshop. It just ends on such a positive note. Everybody will take their. You could probably walk, fly away like a superhero. Everyone can take this home with them. It's a sweet moment where you just feel the support and recognition of everyone in the team. A lot of times someone will share something that connects so much with the individual. They get a little teary eyed. Then I'm so empathetic.
I get teary eyed. And then we're all crying happy tears. And it's just a great way to close a chapter on what has been a hard day of thinking, of working, of work, shopping. So maybe not all superheroes wear capes, but in this cape of compliments. It's all good vibes."
Clue,Hard,10 participants or less.,"A sheet of paper for each participant with the
template drawn: hobby, favorite, hometown, and
most interesting fact (about themselves).",10-15 minutes,"Don’t have a clue what to do? We’ve got the warm-up
for you! In this interactive game, everyone becomes a
detective and a suspect. Hunt for comradery and fun
facts in this effective team-building icebreaker.",https://stalechips.teachable.com/courses/1732552/lectures/39190176,Before: Beginning the session or serious module. After: Kicking off the session or a break.,"Colonel Mustard with general Sanders in the dining room with three candlesticks, two paper clips, and a dolphin named jezebel. That's right, kids. We're gonna play clue in this warm up, which is recommended for ten individuals or less, or else everyone ends up clueless. Here's what you need. You can do printouts. We're going to keep it simple just to show you how easy it can be to make something. You're going to want to draw this up and notice a very important key point. You're going to want to put numbers on every single page. This number will be important. So you're going to give each one of these sheets that has number one, hobby, favorite food, hometown, and most interesting fact about the individual. You're going to give one of these to each of the participants. We like to have them laid out on the tables, perhaps looking extra profeshy. Professie. People say that now, and we're going to play a round of clue. Here's how it works. Each participant will fill out their hobby, their hometown, their favorite food, and the most interesting fact they can muster about themselves. Then we're going to make sure they memorize that number, make sure they don't show anyone else that number. That's their secret code. We're going to throw them all into a big pile in the middle, shift them around, change it around. Then we're going to hand them out one by one. So each participant now has a mystery person that they are searching for. Key rules. Searchers, questioners, clue finders. Make sure that here's the key rule. You cannot say any of the words that are used on the responses in your question. So if someone says kayaking is their favorite hobby, you cannot say, hey, do you go kayaking? You can say, do you really like water sports that involve paddling? And I could say, yes or no. You could say, how are the rapids at this time of year? And is that something you do frequently? You can get in depth like that, but you can't pull directly from the words. Okay, you're going to walk around the room. Now, if you are hounding someone for more than five questions, it's hard to keep track of this as a facilitator. But over five questions, you're toast. You're on to the next person. Give everyone five to seven minutes to walk around the room, ask some questions, and then have them write at the bottom of the page their best guess for who the individual is. Have everyone stand in order of the numbers they actually were, and then give a quick hey, who was who and then see how people come together and start sharing and start laughing. Overall, this game is just a simple way to get everyone to know each other. We've learned where they're from, some random facts about them, and we've gotten to ask questions and engage. The big bonus is even while you're looking for one individual, you've probably gotten to know five, six, seven individuals over the course of your questions.
So key points remember to tell them to remember their number. Sometimes, a lot of times they're going to forget them. If you can write them down, if you can prep the sheet beforehand and print it out, it is smoother, it is easier, it is more professional. But I like the aesthetic of a hand drawn sheet. And overall, this exercise, again, if you really dive into it,
should take ten to twelve minutes. If you're just trying to do it extra quick, I wouldn't try and do it in any less than seven or you'd be clueless. And that's our clue of the day. Our blues clues. Blues, blues."
Comic Book,Medium,"4-6 participants per group, as
many groups as desired.","Sharpies and a sheet of paper for each participant
with 6 Post-its (2 rows of 3) placed on each sheet.",20-30 minutes,"Generate deep connections within the group in this
simple but profound exercise. Each participant will be
challenged to create the story of their own life, drawing
out the moments that shaped their life (on the Post-its)
and given a small space for adding text. Just like a comic
book, images blend with a brief text as the group gets to
intimately know one another.",https://stalechips.teachable.com/courses/1732552/lectures/39190177,Before: Beginning the session or serious module. After: Kicking off the session or a break.,"Smooth intro comic of your life. Now, this one you're going to want to use whenever you're trying to generate a lot of connections with the individuals in the room. This is much more intimate. This is for a much smaller group, so no more than six, or else people will just be uncomfortable sharing at that level of intimacy which you need, what you're going to need in order to run the exercise. You can see I need post its. Each individual person will need a setup like this six post its on a single page of standard a one paper. And what theyre going to do is create a simple comic book. So theyre going to want each have a sharpie, each have this setup, and youre going to give them the challenge because were trying to get to know each other. Were going to take five, maybe six minutes and were going to let you draw out images of the important moments that have highlighted and molded you into who you are today. So I'm going to walk you through a quick example of what it looks like. It doesn't have to be beautiful. We're going to focus in now. It doesn't have to be beautiful. These are simple drawings. As you can see, I was born actually not such a healthy little kid. I had some bad lungs on me. You can also see at the top, no smoking because, one, I lived in a tent as a baby for the first months of my life, and two, my grandmother stopped smoking the day I was born so that she could actually come visit me next. Another important moment in my life. I fell in love with soccer. I'm from a small town. No one played any sports like me, so I was lucky enough to find the channel that soccer was on tv when I was 14. As you can see in the top corner over here, that's actually Zidane, a soccer player headbutting matarazzi. In the final, I cried like a baby. I was a France fan. It was very emotional. What you do with your participants is let them walk through. I like to do it paired or in threes. Let them share their lives, let them get to know each other. And you can dive as deep as possible. Here you can see on the far side. There's a sad face with me flying to what would look like Brazil the day before or the days before I went to Brazil, a family member passed away. My mom encouraged me to go to Brazil to follow my dream, even though it was a tough hit on my family in general and even harder that I couldn't be there to help support them. So as you get more intimate as you get more comfortable with one another, you're going to be able to reach deeper. During the workshop to get the most out of the participants. There's going to be a level of trust, of transparency, just because of this exercise. Now it is a heavy one and you may get some tears. So be prepared. Understand that people only have to share at the level of intimacy they are comfortable with. If you come with an example prepared of how deep you would like people to go, like minimum, how deep you would like people to go, that's the best practice. Show them what you're expecting of them and then they'll follow suit.
And a lot of times they'll dive even deeper. So comic booking your life. A simple exercise that in the end does take about 15, maybe 20 minutes, depending on how well the conversation is going. But the effects can last throughout the day, throughout the weeks,
and especially if you're on a project that's going to have continuity, that's going to continue for a longer time. This is a great beginning to your chapter. You can keep it. A lot of people will take it home. Some people have even framed it. They've never framed mine. My mom hasn't either. But it's a simple, fun exercise to get to know one another."
